group,Matriline,AnimalID.text,DOB,MaternalID.text,Birth.Season,ExitAge2,First_born,Died,MomAllLossType,High_temperature,High_temperatureLog,Rainfall,RainfallLog,Group_size,Group_sizeLog,Maternal_kin_count,Maternal_kin_countLog,Matriline_rank,CompetingSib,Maternal_loss,Hurricane,female,CumulIndex,Cumulative_early_life_adversity,censored,time,timeYr
J,'031,'A03,28868,'554,1979,1871,N,0,0,-1.427409683,-1.434368379,3.234799227,2.668086778,-0.472809175,-0.160320746,-0.310491852,-0.07270889,H,N,N,0None,F,1.505978679,-2.306291789,1,1872,5.128767123
F,'065,'B72,29225,'576,1980,3119,N,1,1,0.212585912,0.221150665,-1.436986333,-1.642858633,-0.593421099,-0.293859873,-1.306590592,-2.031949388,H,N,Y,0None,F,3.718840363,0.346835767,0,3120,8.547945205
F,'065,'C26,29587,'577,1981,6620,N,1,0,-0.358316448,-0.34928109,0.9038253,0.952639825,-0.573319112,-0.270742573,-0.808541222,-0.795806263,H,N,N,0None,F,2.157510248,-1.525132997,0,6621,18.13972603
F,'065,'O52,32158,'577,1988,9824,N,1,0,-0.253236644,-0.243823799,0.072960844,0.171931342,-0.070769429,0.213308271,-0.310491852,-0.07270889,H,N,N,0None,F,2.381703427,-1.256334859,0,9825,26.91780822
I,'091,'A25,28870,'584,1979,4075,N,0,0,-1.437730026,-1.444952621,3.239858618,2.671255867,-0.714033023,-0.440774201,-0.310491852,-0.07270889,H,N,N,0None,F,1.448806026,-2.374839382,1,4076,11.16712329
I,'091,'J30,31060,'585,1985,1888,N,0,0,-0.892628523,-0.888797571,-0.021762201,0.074974445,1.175553786,0.989313628,1.681705628,1.438343098,H,N,N,0None,F,2.335766937,-1.311410767,1,1889,5.175342466
I,'091,'C62,29615,'587,1981,4022,N,0,0,-0.399128702,-0.39029685,0.691049795,0.763630314,-0.332095264,-0.018480457,-0.808541222,-0.795806263,H,N,N,0None,F,2.238009664,-1.428617602,1,4023,11.02191781
J,'031,'A50,28881,'601,1979,1853,N,0,0,-1.455086965,-1.46275818,3.21062658,2.65291878,-0.472809175,-0.160320746,-0.808541222,-0.795806263,H,N,N,0None,F,1.553902222,-2.248833488,1,1854,5.079452055
L,'RB,'955,28519,'606,1978,2922,Y,1,0,-1.092467788,-1.09200924,0.416437287,0.509039547,-0.975358858,-0.8207619,-1.306590592,-2.031949388,H,N,N,0None,F,3.036720369,-0.470997253,0,2923,8.008219178
J,'031,'B26,29251,'644,1980,1482,Y,0,0,0.259496541,0.267749602,-1.169962912,-1.272159787,-0.392401226,-0.077599245,-0.310491852,-0.07270889,H,N,N,0None,F,3.629747976,0.240017763,1,1483,4.063013699
