group,Matriline,AnimalID.text,DOB,Sex,MaternalID.text,Birth.Season,csi_ff_avg,ExitAge2,Died,s_csiff,censored,time,ExitAgeYr
F,'065,'0S8,41517,FEMALE,'56E,2014,0.423492894,1567,0,-1.149815967,1,1568,4.293150685
F,'065,'0R5,41523,MALE,'60P,2014,1.743250033,2246,0,1.478770332,1,2247,6.153424658
F,'073,'6Q6,41538,MALE,'62V,2014,0.310462874,2229,0,-1.374940084,1,2230,6.106849315
F,'065,'3S8,41512,MALE,'64P,2014,1.394072465,1572,0,0.78330649,1,1573,4.306849315
MM,'065,'3S3,41548,FEMALE,'68V,2014,0.579951418,1536,0,-0.838194442,1,1537,4.208219178
F,'073,'0R1,41493,MALE,'93Z,2014,0.927623854,1591,0,-0.1457284,1,1592,4.35890411
F,'065,'1S1,41520,MALE,'98T,2014,0.728960167,1564,0,-0.541410781,1,1565,4.284931507
F,'073,'0R0,41459,FEMALE,'9C2,2014,1.458104992,1625,0,0.910841336,1,1626,4.452054795
F,'004,'6U9,41882,FEMALE,'7B7,2015,0.792186902,1761,1,-0.415480847,0,1762,4.824657534
F,'065,'3W5,42203,MALE,'0G5,2016,1.623235148,2309,0,1.23973432,1,2310,6.326027397
F,'004,'1V3,42236,MALE,'1A3,2016,0.463981161,2246,0,-1.069174687,1,2247,6.153424658
F,'004,'9W5,42234,FEMALE,'0I5,2016,0.918134696,2284,0,-0.164628144,1,2285,6.257534247
F,'004,'9W4,42207,MALE,'3C3,2016,1.029083965,2297,0,0.056351703,1,2298,6.293150685
F,'065,'3W0,42269,MALE,'4C1,2016,1.06599371,2228,0,0.129865569,1,2229,6.104109589
F,'065,'2W9,42218,FEMALE,'5C0,2016,1.870642663,2291,0,1.732500744,1,2292,6.276712329
F,'065,'8W5,42154,FEMALE,'5G9,2016,1.206214311,2337,0,0.409145702,1,2338,6.402739726
F,'065,'9W3,42210,MALE,'64P,2016,1.345753399,1929,1,0.687068453,0,1930,5.284931507
F,'004,'6V3,42209,FEMALE,'82L,2016,1.60707866,2301,0,1.207555125,1,2302,6.304109589
F,'004,'3W2,42212,MALE,'8B0,2016,1.221409555,2293,0,0.43941037,1,2294,6.282191781
F,'004,'9U8,42182,FEMALE,'8E8,2016,1.152721269,2320,0,0.302602557,1,2321,6.356164384
F,'065,'6Z6,42571,FEMALE,'29Z,2017,1.062908356,1945,0,0.123720409,1,1946,5.328767123
F,'065,'2Y2,42567,MALE,'2A2,2017,0.840945308,1909,0,-0.318367769,1,1910,5.230136986
F,'004,'6X7,42608,MALE,'2A7,2017,1.186402387,1873,0,0.369685903,1,1874,5.131506849
F,'065,'6X1,42582,MALE,'2J8,2017,0.725678794,1927,0,-0.547946356,1,1928,5.279452055
F,'004,'AA4,42601,MALE,'50I,2017,1.489081024,1897,0,0.972536908,1,1898,5.197260274
F,'004,'5X8,42632,MALE,'79Z,2017,0.991045058,1852,0,-0.019411139,1,1853,5.073972603
F,'004,'5X2,42565,MALE,'8B0,2017,1.091034617,1926,0,0.179740036,1,1927,5.276712329
F,'065,'3Y2,42577,FEMALE,'8J6,2017,1.722643658,1496,1,1.437728208,0,1497,4.098630137
F,'065,'5X6,42582,MALE,'9D8,2017,0.915332981,1923,0,-0.170208375,1,1924,5.268493151
R,'DM,'2V0,42247,MALE,'0B4,2016,1.281924508,1521,0,0.559939193,1,1522,4.167123288
R,'DM,'2W8,42223,MALE,'37P,2016,1.473975614,2268,0,0.942451165,1,2269,6.21369863
R,'DM,'2V1,42193,MALE,'3H6,2016,0.939142689,1570,0,-0.122786109,1,1571,4.301369863
R,'DM,'2V9,42245,MALE,'4A5,2016,1.210458519,2238,0,0.417598975,1,2239,6.131506849
R,'DM,'2V7,42211,FEMALE,'60V,2016,0.684685297,1557,0,-0.629593911,1,1558,4.265753425
R,'DM,'1W9,42227,MALE,'7F2,2016,1.497146322,2257,0,0.988600721,1,2258,6.183561644
R,'DM,'2V6,42242,FEMALE,'91V,2016,0.515516268,1528,0,-0.966531199,1,1529,4.18630137
V,'22,'8V3,42221,MALE,'00V,2016,2.122302122,2260,0,2.233735847,1,2261,6.191780822
V,'22,'6W4,42268,FEMALE,'2E4,2016,0.921620769,1636,1,-0.157684863,0,1637,4.482191781
V,'22,'8V6,42287,MALE,'51Z,2016,1.089346052,2197,0,0.176376889,1,2198,6.019178082
V,'22,'8V8,42228,MALE,'1G0,2016,0.163457247,2248,0,-1.667734089,1,2249,6.15890411
V,'22,'AZ8,42604,MALE,'1G1,2017,0.881432331,1926,0,-0.237728966,1,1927,5.276712329
