group,Matriline,AnimalID.text,DOB,Sex,MaternalID.text,Birth.Season,csi_ff_avg,ExitAge2,Died,s_csiff,censored,time,ExitFour,CensorFour,ExitFourYr
V,'22,'I170K0,42593,FEMALE,'0K0,2017,0.859406541,301,1,-0.281598166,0,302,301,0,0.824657534
V,'22,'I171I5,42623,MALE,'1I5,2017,0.4675555,286,1,-1.062055607,0,287,286,0,0.783561644
V,'22,'I171I6,42595,FEMALE,'1I6,2017,0.797583922,276,1,-0.404731495,0,277,276,0,0.756164384
V,'22,'I171K1,42567,FEMALE,'1K1,2017,0.833762818,774,1,-0.332673275,0,775,774,0,2.120547945
V,'22,'I172E4,42615,MALE,'2E4,2017,0.850324084,427,1,-0.299687875,0,428,427,0,1.169863014
V,'22,'I172G2,42590,FEMALE,'2G2,2017,0.674422834,303,1,-0.650033861,0,304,303,0,0.830136986
V,'22,'I172G3,42604,FEMALE,'2G3,2017,0.82592651,435,1,-0.348281005,0,436,435,0,1.191780822
V,'22,'I172I3,42603,MALE,'2I3,2017,1.405230009,293,1,0.805529189,0,294,293,0,0.802739726
V,'22,'I173D9,42620,MALE,'3D9,2017,0.499818219,786,1,-0.997797314,0,787,786,0,2.153424658
V,'22,'I1747Z,42582,MALE,'47Z,2017,0.571371853,376,1,-0.855282531,0,377,376,0,1.030136986
V,'22,'I174C5,42581,FEMALE,'4C5,2017,0.826701304,313,1,-0.346737832,0,314,313,0,0.857534247
V,'22,'I174C9,42630,FEMALE,'4C9,2017,0.129403385,212,1,-1.735559836,0,213,212,0,0.580821918
V,'22,'I1751Z,42637,MALE,'51Z,2017,1.134374522,504,1,0.266060979,0,505,504,0,1.380821918
V,'22,'I1752Z,42576,MALE,'52Z,2017,1.131188965,275,1,0.259716242,0,276,275,0,0.753424658
V,'22,'I175C6,42609,MALE,'5C6,2017,1.358578849,532,1,0.712613155,0,533,532,0,1.457534247
V,'22,'I1778I,42591,FEMALE,'78I,2017,0.720823358,710,1,-0.557617023,0,711,710,0,1.945205479
V,'22,'I177C4,42572,FEMALE,'7C4,2017,0.353022202,956,1,-1.290173833,0,957,956,0,2.619178082
V,'062,'I1785T,42725,FEMALE,'85T,2017,1.398192717,149,1,0.791512876,0,150,149,0,0.408219178
V,'22,'I1790T,42582,MALE,'90T,2017,2.134066328,285,1,2.257166847,0,286,285,0,0.780821918
V,'22,'I1793T,42576,MALE,'93T,2017,0.900804978,4,1,-0.199144085,0,5,4,0,0.010958904
V,'22,'I179C1,42613,MALE,'9C1,2017,0.390136282,409,1,-1.216252989,0,410,409,0,1.120547945
V,'22,'I179E8,42679,MALE,'9E8,2017,0.898932103,236,1,-0.202874327,0,237,236,0,0.646575342
V,'22,'I171B0,42622,FEMALE,'1B0,2017,1.362172948,356,1,0.719771592,0,357,356,0,0.975342466
V,'22,'I171G0,42596,MALE,'1G0,2017,0.162799984,176,1,-1.669043172,0,177,176,0,0.482191781
V,'22,'AZ8,42604,MALE,'1G1,2017,0.881432331,1926,0,-0.237728966,1,1927,1460,1,4
V,'22,'I171G6,42543,MALE,'1G6,2017,1.133811428,268,1,0.264939454,0,269,268,0,0.734246575
