group,Matriline,AnimalID.text,DOB,Sex,MaternalID.text,Birth.Season,csi_ff_avg,ExitAge2,Died,s_csiff,censored,time,ExitFour,CensorFour,ExitFourYr
F,'004,'0S9,41557,FEMALE,'63V,2014,1.227699314,420,0,0.451937807,1,421,420,1,1.150684932
F,'065,'3S8,41512,MALE,'64P,2014,1.394072465,1572,0,0.78330649,1,1573,1460,1,4
MM,'065,'3S3,41548,FEMALE,'68V,2014,0.579951418,1536,0,-0.838194442,1,1537,1460,1,4
F,'065,'6Q8,41507,FEMALE,'6C0,2014,3.823848152,840,0,5.622738603,1,841,840,1,2.301369863
F,'004,'6R2,41561,MALE,'79Z,2014,0.360420583,422,0,-1.275438331,1,423,422,1,1.156164384
F,'004,'8R1,41505,MALE,'7B7,2014,1.206573641,842,0,0.409861387,1,843,842,1,2.306849315
F,'004,'I147D8,41507,FEMALE,'7D8,2014,0.501765397,72,1,-0.993919081,0,73,72,0,0.197260274
F,'065,'6Q7,41572,MALE,'82A,2014,0.951065112,405,0,-0.099039984,1,406,405,1,1.109589041
F,'004,'5R7,41502,FEMALE,'82L,2014,0.550860863,480,0,-0.896134674,1,481,480,1,1.315068493
F,'004,'3S2,41523,FEMALE,'87K,2014,1.098228515,462,0,0.194068265,1,463,462,1,1.265753425
F,'004,'I148B0,41526,FEMALE,'8B0,2014,1.368274728,386,1,0.731924629,0,387,386,0,1.057534247
F,'065,'I1492D,41489,FEMALE,'92D,2014,1.069245593,423,1,0.136342408,0,424,423,0,1.15890411
F,'073,'0R1,41493,MALE,'93Z,2014,0.927623854,1591,0,-0.1457284,1,1592,1460,1,4
F,'065,'1S1,41520,MALE,'98T,2014,0.728960167,1564,0,-0.541410781,1,1565,1460,1,4
F,'065,'7R7,41495,FEMALE,'9A4,2014,0.47180805,819,0,-1.053585718,1,820,819,1,2.243835616
F,'073,'0R0,41459,FEMALE,'9C2,2014,1.458104992,1625,0,0.910841336,1,1626,1460,1,4
F,'065,'I149D8,41504,MALE,'9D8,2014,2.06640314,408,1,2.122400743,0,409,408,0,1.117808219
F,'073,'I150A9,41895,FEMALE,'0A9,2015,0.906787419,109,1,-0.187228739,0,110,109,0,0.298630137
MM,'004,'8T7,41876,FEMALE,'0C6,2015,1.336160642,497,1,0.66796237,0,498,497,0,1.361643836
F,'004,'0U5,41867,FEMALE,'34N,2015,1.011465651,1419,1,0.021260959,0,1420,1419,0,3.887671233
F,'065,'I153E2,41889,MALE,'3E2,2015,1.232216099,115,1,0.460933975,0,116,115,0,0.315068493
F,'065,'5T6,41870,FEMALE,'2A5,2015,0.247711156,477,0,-1.499923919,1,478,477,1,1.306849315
F,'073,'I154C2,41854,MALE,'4C2,2015,1.305539588,150,1,0.606973813,0,151,150,0,0.410958904
F,'004,'I1550I,41917,MALE,'50I,2015,0.687355932,3,1,-0.624274754,0,4,3,0,0.008219178
F,'065,'I1562H,41983,MALE,'62H,2015,0.594814221,3,1,-0.808591905,0,4,3,0,0.008219178
F,'004,'6U9,41882,FEMALE,'7B7,2015,0.792186902,1761,1,-0.415480847,0,1762,1460,1,4
F,'065,'5T2,41838,FEMALE,'9D8,2015,1.556981911,1132,1,1.107776442,0,1133,1132,0,3.101369863
F,'065,'I1543J,41868,MALE,'43J,2015,0.886958504,8,1,-0.22672238,0,9,8,0,0.021917808
F,'073,'I1600J,42210,FEMALE,'00J,2016,0.735513225,73,1,-0.528358926,0,74,73,0,0.2
F,'065,'3W5,42203,MALE,'0G5,2016,1.623235148,2309,0,1.23973432,1,2310,1460,1,4
F,'004,'1V3,42236,MALE,'1A3,2016,0.463981161,2246,0,-1.069174687,1,2247,1460,1,4
F,'004,'I161C0,42175,MALE,'1C0,2016,1.699717368,32,1,1.392065465,0,33,32,0,0.087671233
F,'004,'9W5,42234,FEMALE,'0I5,2016,0.918134696,2284,0,-0.164628144,1,2285,1460,1,4
F,'004,'I162A7,42243,MALE,'2A7,2016,1.043486659,228,1,0.085037831,0,229,228,0,0.624657534
F,'004,'I1632S,42208,MALE,'32S,2016,0.891204231,21,1,-0.218266081,0,22,21,0,0.057534247
F,'004,'9W4,42207,MALE,'3C3,2016,1.029083965,2297,0,0.056351703,1,2298,1460,1,4
F,'004,'I1640L,42218,MALE,'40L,2016,0.700246606,190,1,-0.598600145,0,191,190,0,0.520547945
F,'065,'I1643J,42192,FEMALE,'43J,2016,0.672807682,6,1,-0.653250791,0,7,6,0,0.016438356
F,'065,'I1643J-K,42242,MALE,'43J,2016,0.672807682,13,1,-0.653250791,0,14,13,0,0.035616438
F,'065,'3W0,42269,MALE,'4C1,2016,1.06599371,2228,0,0.129865569,1,2229,1460,1,4
F,'076,'1X5,42306,FEMALE,'53E,2016,0.497072012,867,1,-1.003266988,0,868,867,0,2.375342466
F,'065,'2W9,42218,FEMALE,'5C0,2016,1.870642663,2291,0,1.732500744,1,2292,1460,1,4
F,'065,'8W5,42154,FEMALE,'5G9,2016,1.206214311,2337,0,0.409145702,1,2338,1460,1,4
F,'065,'I1662H,42259,MALE,'62H,2016,0.941348203,175,1,-0.118393344,0,176,175,0,0.479452055
F,'065,'9W3,42210,MALE,'64P,2016,1.345753399,1929,1,0.687068453,0,1930,1460,1,4
F,'065,'9V4,42196,MALE,'68V,2016,1.104072937,474,0,0.205708716,1,475,474,1,1.298630137
F,'004,'9W0,42246,MALE,'79Z,2016,0.514693405,460,1,-0.968170113,0,461,460,0,1.260273973
F,'004,'3W3,42270,MALE,'7B7,2016,0.290660741,434,1,-1.414380384,0,435,434,0,1.189041096
F,'004,'I167D8,42215,MALE,'7D8,2016,0.797576169,364,1,-0.404746936,0,365,364,0,0.997260274
F,'004,'6V3,42209,FEMALE,'82L,2016,1.60707866,2301,0,1.207555125,1,2302,1460,1,4
F,'004,'3W2,42212,MALE,'8B0,2016,1.221409555,2293,0,0.43941037,1,2294,1460,1,4
F,'004,'9U8,42182,FEMALE,'8E8,2016,1.152721269,2320,0,0.302602557,1,2321,1460,1,4
F,'065,'I1698T,42208,MALE,'98T,2016,0.943449579,12,1,-0.114207991,0,13,12,0,0.032876712
F,'065,'I1704N,42606,MALE,'04N,2017,1.145634091,6,1,0.288486885,0,7,6,0,0.016438356
F,'065,'I170G5,42592,FEMALE,'0G5,2017,0.904946446,180,1,-0.19089544,0,181,180,0,0.493150685
F,'065,'6Z6,42571,FEMALE,'29Z,2017,1.062908356,1945,0,0.123720409,1,1946,1460,1,4
F,'065,'2Y2,42567,MALE,'2A2,2017,0.840945308,1909,0,-0.318367769,1,1910,1460,1,4
F,'065,'I172A5,42615,FEMALE,'2A5,2017,1.608362066,635,1,1.21011131,0,636,635,0,1.739726027
F,'004,'6X7,42608,MALE,'2A7,2017,1.186402387,1873,0,0.369685903,1,1874,1460,1,4
F,'004,'I172A8,42587,FEMALE,'2A8,2017,1.578165163,65,1,1.149967543,0,66,65,0,0.178082192
F,'065,'6X1,42582,MALE,'2J8,2017,0.725678794,1927,0,-0.547946356,1,1928,1460,1,4
F,'004,'I1734N,42584,MALE,'34N,2017,0.613198809,262,1,-0.771974957,0,263,262,0,0.717808219
F,'065,'I1735N,42543,FEMALE,'35N,2017,0.76533578,231,1,-0.468960755,0,232,231,0,0.632876712
F,'065,'I174C1,42579,MALE,'4C1,2017,0.882106159,62,1,-0.236386891,0,63,62,0,0.169863014
F,'004,'AA4,42601,MALE,'50I,2017,1.489081024,1897,0,0.972536908,1,1898,1460,1,4
F,'065,'I1752P,42598,MALE,'52P,2017,0.189049733,169,1,-1.616761031,0,170,169,0,0.463013699
